candidate_id,rank,score,reasoning
CAND_0002025,1,0.8215,"Matches: faiss, nlp | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0088025,2,0.7558,"Matches: nlp, python | Missing: valuation, rust | 9y exp matches requirement | Strong trajectory | Active candidate"
CAND_0088025,3,0.7558,"Matches: nlp, python | Missing: valuation, rust | 9y exp matches requirement | Strong trajectory | Active candidate"
CAND_0004402,4,0.7557,"Matches: computer vision | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0081846,5,0.7556,"Matches: python, embeddings | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0081846,6,0.7556,"Matches: python, embeddings | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0003791,7,0.7554,"Matches: computer vision, python | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0000031,8,0.7539,"Matches: faiss, go | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0077337,9,0.7535,"Matches: python | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0077337,10,0.7535,"Matches: python | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0046525,11,0.7532,"Matches: nlp, langchain | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0046525,12,0.7532,"Matches: nlp, langchain | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0071974,13,0.7516,"Matches: embeddings | Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
CAND_0071974,14,0.7516,"Matches: embeddings | Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
CAND_0040887,15,0.7508,"Matches: faiss, computer vision | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory | Active candidate"
CAND_0040887,16,0.7508,"Matches: faiss, computer vision | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory | Active candidate"
CAND_0005260,17,0.7474,"Matches: nlp, python | Missing: valuation, rust | 5y exp matches requirement | Strong trajectory | Active candidate"
CAND_0005260,18,0.7474,"Matches: nlp, python | Missing: valuation, rust | 5y exp matches requirement | Strong trajectory | Active candidate"
CAND_0003977,19,0.7448,"Matches: nlp, python | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory"
CAND_0098846,20,0.7438,"Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
CAND_0098846,21,0.7438,"Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
CAND_0004620,22,0.7417,"Matches: faiss, langchain | Missing: valuation, rust | 5y exp matches requirement | Strong trajectory"
CAND_0001147,23,0.7416,"Matches: faiss, computer vision | Missing: valuation, rust | Over: 12y vs max 9y | Strong trajectory"
CAND_0079387,24,0.7399,"Matches: python | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0079387,25,0.7399,"Matches: python | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0030031,26,0.738,"Matches: nlp, python | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0030031,27,0.738,"Matches: nlp, python | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0001537,28,0.7362,"Matches: faiss, langchain | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory"
CAND_0070525,29,0.7362,"Matches: computer vision, python | Missing: valuation, rust | 5y exp matches requirement | Strong trajectory | Active candidate"
CAND_0070525,30,0.7362,"Matches: computer vision, python | Missing: valuation, rust | 5y exp matches requirement | Strong trajectory | Active candidate"
CAND_0061257,31,0.7351,"Matches: python | Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
CAND_0061257,32,0.7351,"Matches: python | Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
CAND_0028793,33,0.735,"Matches: nlp, embeddings | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0028793,34,0.735,"Matches: nlp, embeddings | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory | Active candidate"
CAND_0004733,35,0.7337,"Matches: rust, faiss | Missing: valuation, git | 6y exp matches requirement | Strong trajectory"
CAND_0099806,36,0.7329,"Matches: faiss, embeddings | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory | Active candidate"
CAND_0099806,37,0.7329,"Matches: faiss, embeddings | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory | Active candidate"
CAND_0012957,38,0.7311,"Matches: langchain, python | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory"
CAND_0012957,39,0.7311,"Matches: langchain, python | Missing: valuation, rust | Below: 5y vs 5y needed | Strong trajectory"
CAND_0000821,40,0.7303,"Matches: rust, faiss | Missing: valuation, git | 7y exp matches requirement | Strong trajectory"
CAND_0003029,41,0.7295,"Matches: faiss, langchain | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory"
CAND_0004008,42,0.728,"Matches: rust, faiss | Missing: valuation, git | 7y exp matches requirement | Strong trajectory"
CAND_0047907,43,0.7277,"Matches: computer vision, nlp | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory"
CAND_0047907,44,0.7277,"Matches: computer vision, nlp | Missing: valuation, rust | 7y exp matches requirement | Strong trajectory"
CAND_0004402,45,0.7269,"Matches: computer vision | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0004402,46,0.7269,"Matches: computer vision | Missing: valuation, rust | 6y exp matches requirement | Strong trajectory | Active candidate"
CAND_0001819,47,0.7268,"Matches: computer vision, nlp | Missing: valuation, rust | Below: 4y vs 5y needed | Strong trajectory | Active candidate"
CAND_0000828,48,0.7267,"Matches: faiss, langchain | Missing: valuation, rust | Over: 10y vs max 9y | Strong trajectory"
CAND_0044222,49,0.7262,"Matches: nlp, langchain | Missing: valuation, rust | 8y exp matches requirement | Strong trajectory | Active candidate"
